algoritmo;tamanho;execucao;energia_joules;duracao_s;user_time_s;system_time_s;potencia_media_w;energia_por_elemento_j
bolha;10;1;0,140000;0,010662;0,010000;0,000000;13,1309;0,014000000
bolha;100;1;0,130000;0,010499;0,010000;0,000000;12,3817;0,001300000
bolha;1000;1;0,810000;0,055324;0,050000;0,000000;14,6411;0,000810000
bolha;10000;1;79,660000;4,850439;5,030000;0,070000;16,4233;0,007966000
bolha;50000;1;2099,030000;130,960373;133,320000;1,800000;16,0280;0,041980600
bolha;100000;1;8940,830000;527,038957;545,250000;7,390000;16,9643;0,089408300
insertion;10;1;0,190000;0,039978;0,040000;0,010000;4,7527;0,019000000
insertion;100;1;0,120000;0,030452;0,030000;0,010000;3,9406;0,001200000
insertion;1000;1;0,260000;0,060847;0,050000;0,010000;4,2730;0,000260000
insertion;10000;1;11,780000;1,402993;1,410000;0,020000;8,3963;0,001178000
insertion;50000;1;348,140000;37,877229;38,530000;0,420000;9,1913;0,006962800
insertion;100000;1;1569,640000;161,630670;165,270000;1,710000;9,7113;0,015696400
